GlobalEventID,IsRootEvent,QuadClass,EventCode,EventRootCode,ActionGeo_Lat,ActionGeo_Long,country_code_alpha,source_country_code
709953100,0,4,190,19,33.0,66.0,AFG,INT
709953101,1,2,63,6,27.0,30.0,EGY,USA
709953102,1,4,173,17,44.5236,-89.5746,USA,USA
709953103,0,1,51,5,41.7356,26.3961,TUR,INT
709953104,0,1,51,5,51.5,10.5,DEU,INT
709953105,0,1,20,2,52.5,5.75,NLD,INT
709953106,0,3,120,12,52.5,5.75,NLD,INT
709953107,0,1,51,5,51.5,10.5,DEU,INT
709953108,0,1,51,5,41.7356,26.3961,TUR,INT
709953109,0,2,61,6,-12.05,-77.05,PER,GBR
709953110,0,1,51,5,32.799,-86.8073,USA,USA
709953111,1,2,71,7,31.5333,35.1,ISR,PSE
709953112,1,3,130,13,31.4358,35.0766,PSE,PSE
709953113,1,3,130,13,31.4358,35.0766,PSE,PSE
709953114,1,1,20,2,38.468,-80.9696,USA,USA
709953115,0,4,190,19,29.7,27.5,EGY,USA
709953116,0,1,10,1,41.3501,-82.5999,USA,INT
709953117,0,1,56,5,41.3501,-82.5999,USA,INT
709953118,0,1,10,1,39.3498,-75.5148,USA,INT
709953119,0,4,160,16,30.05,31.25,EGY,USA
709953120,0,4,160,16,21.0,57.0,OMN,USA
709953121,1,1,36,3,40.3461,-94.8725,USA,USA
709953122,1,1,36,3,38.4623,-92.302,USA,USA
709953123,0,2,841,8,51.5,-0.116667,GBR,INT
709953124,0,1,46,4,32.0,53.0,IRN,INT
709953125,0,1,46,4,51.5,-0.116667,GBR,INT
709953126,0,1,46,4,32.0,53.0,IRN,INT
709953127,0,1,46,4,51.5,-0.116667,GBR,INT
709953128,1,1,12,1,36.17,-119.74600000000001,USA,USA
709953129,1,1,36,3,20.6667,-103.333,MEX,INT
709953130,1,1,36,3,40.4,-3.68333,ESP,INT
709953131,0,4,193,19,41.3501,-82.5999,USA,INT
709953132,0,4,193,19,40.0157,-122.40100000000001,USA,INT
709953133,1,2,80,8,38.2776,-85.7372,USA,INT
709953134,1,2,80,8,39.8647,-86.2604,USA,INT
709953135,1,2,80,8,38.2776,-85.7372,USA,INT
709953136,1,1,10,1,-19.574,31.2176,ZWE,GBR
709953137,1,3,130,13,17.9833,-92.9167,MEX,INT
709953138,0,4,190,19,33.0,66.0,AFG,USA
709953140,1,1,51,5,-38.0023,-57.5575,ARG,USA
709953141,0,1,42,4,-31.9333,115.833,AUS,SGP
709953142,1,1,42,4,-31.9333,115.833,AUS,SGP
709953143,1,1,42,4,-32.0528,115.742,AUS,SGP
709953144,0,1,43,4,-31.9333,115.833,AUS,AUS
709953145,0,2,874,8,-31.9333,115.833,AUS,SGP
709953146,1,4,190,19,-34.9333,138.6,AUS,AUS
709953147,1,4,190,19,-34.9333,138.6,AUS,AUS
